index,sid,text,polarity,file
52,rev-53,پردازنده A5 را قبل‌تر بر روی iPad  های کمپانی اپل دیده بودیم و وقتی بر روی گوشی 4S به بازار آمد چندان ناشناخته نبود.,0,data/main/Apple iPhone 5 - 16GB.xml
53,rev-54,اما به نظر می‌رسد کمپانی اپل،  پردازنده جدید خود را مخصوص آیفون 5 طراحی و تولید نموده است.,0,data/main/Apple iPhone 5 - 16GB.xml
54,rev-55,پردازنده ای که طبق گفته این کمپانی،  دو برابر از پردازنده آیفون 4S سریع‌تر است.,+1,data/main/Apple iPhone 5 - 16GB.xml
55,rev-56,به هر حال اپل چندان به اعلام جزئیات سخت افزاری گوشی‌های خود علاقه‌مند نشان نمی‌دهد.,0,data/main/Apple iPhone 5 - 16GB.xml
56,rev-57,بنابراین برای یافتن مشخصات سخت افزاری محصولات این کمپانی،  شرکت‌های مختلف بر روی آن‌ها تحقیق و آزمایش‌های مختلفی را انجام می‌دهند.,0,data/main/Apple iPhone 5 - 16GB.xml
57,rev-58,یکی از سایت‌های بسیار معتبر در این زمینه،  سایت Anandtech است که فقط به تحلیل محصولات برتر بازار می‌پردازد.,0,data/main/Apple iPhone 5 - 16GB.xml
58,rev-59,بر طبق اعلام این سایت،  فرکانس پردازنده آیفون 5 حداکثر 1.2GHz می‌باشد که به همراه 1 گیگابایت حافظه رم و یک پردازشگر گرافیکی بسیار قدرتمند از نوع PowerVR SGX 543MP و سه هسته ای تولید گشته است.,+1,data/main/Apple iPhone 5 - 16GB.xml
59,rev-60,نتیجه تست‌های مختلف صورت گرفته توسط سایت معتبر آناندتک نشان می‌دهد که باز هم باید آیفون 5 را قدرتمندترین گوشی موجود تا به امروز بنامیم.,+2,data/main/Apple iPhone 5 - 16GB.xml
60,rev-61,در آزمون سرعت اجرای جاوا اسکریپت،  آیفون 5 حدود 50% سریع‌تر از غول LG یعنی Optimus G عمل نمود.,+1,data/main/Apple iPhone 5 - 16GB.xml
61,rev-62,همین‌طور حدود 2 برابر سریع‌تر از Galaxy S III و One X .,+1,data/main/Apple iPhone 5 - 16GB.xml
62,rev-63,در تست BrowserMark که مربوط به سرعت مرورگر می‌شود نیز آیفون در صدر قرار گرفت و Galaxy S III و One X  با اختلاف در رده های بعدی ایستادند.,0,data/main/Apple iPhone 5 - 16GB.xml
63,rev-64,در تست Google V8 نیز آیفون 5 مکان اول را به خود اختصاص داد و بعد از آن One X و آیفون 4S مکان‌های بعدی را به خود اختصاص دادند.,0,data/main/Apple iPhone 5 - 16GB.xml
64,rev-65,اما مهم‌تر از تست‌های جاوا،  تست‌های گرافیکی هستند که نتایج جالبی را به ما ارائه نمودند.,+1,data/main/Apple iPhone 5 - 16GB.xml
65,rev-66,در آزمایش Triangle Texture Test که مربوط به قدرت پردازش گرافیکی دستگاه است یک محصول دیگر کمپانی اپل یعنی آی پد 3 با اختلافی ناچیز اول شد.,0,data/main/Apple iPhone 5 - 16GB.xml
66,rev-67,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد،  هر سه از اپل !,0,data/main/Apple iPhone 5 - 16GB.xml
67,rev-68,جالب است که One X با امتیاز کمتر از نصف آیفون5 در رده چهارم و Galaxy S III در رده پنجم ایستاند.,0,data/main/Apple iPhone 5 - 16GB.xml
68,rev-69,در تست کلی Egypt HD نیز آیفون 5 در صدر جدول قرار گرفت و ال‌جی را به مکان دوم جدول فرستاد.,0,data/main/Apple iPhone 5 - 16GB.xml
69,rev-70,در نهایت،  طبق نتایج به دست آمده،  صحت ادعای کمپانی اپل اثبات گردید و مشخص شد که آیفون 5 از نظر سخت افزاری در کل تا دو برابر قوی‌تر از آیفون 4S عمل می‌نماید و بدین ترتیب مجددا گوشی تولیدی کمپانی اپل در صدر قدرتمندترین گوشی‌های بازار از نظر عملکرد سخت افزار می‌ایستد.,+1,data/main/Apple iPhone 5 - 16GB.xml
70,rev-71,لازم به ذکر است که نتایج بدست آمده،  حاصل آزمایش‌های متخصصان آناندتک می‌باشد و نتایج اعلامی از طرف کمپانی اپل نیستند!,0,data/main/Apple iPhone 5 - 16GB.xml
71,rev-72,در مورد ظرفیت آیفون جدید نیز باید بگوییم که اپل مدل جدید خود را در سه ظرفیت 16،  32 و 64 گیگابایت تولید نموده است و همانند محصولات قبلی این کمپانی،  آیفون 5 نیز از کارت حافظه جانبی پشتیبانی نمی‌کند و کاربر باید بنا بر نیاز خود یکی از این سه مدل را انتخاب نماید.,0,data/main/Apple iPhone 5 - 16GB.xml
72,rev-73,اما به یکی دیگر از تغییرات اساسی آیفون 5 می‌رسیم،  یعنی تغییر در کانکتور.,0,data/main/Apple iPhone 5 - 16GB.xml
73,rev-74,پس از سال‌ها استفاده از کانکتور 30 پین برای محصولات اپل،  این کمپانی دست به تغییر آن زد و کانکتور رعد را جایگزین آن‌ها نمود.,0,data/main/Apple iPhone 5 - 16GB.xml
74,rev-75,با وجود ابعاد کوچک این گوشی،  به نظر می‌رسد که اپل مجبور بوده فضای داخلی آن را به صورت بسیار حرفه ای مدیریت کند،  و یکی از تغییرات در مورد کانکتور آن اعمال گردید.,0,data/main/Apple iPhone 5 - 16GB.xml
75,rev-76,این کانکتور کاملا دیجیتالی بوده و طوری طراحی گردیده که از هر دو طرف قابل اتصال است.,0,data/main/Apple iPhone 5 - 16GB.xml
76,rev-77,ضمنا یک آداپتور تبدیل نیز برای آن تعبیه گردیده تا دستگاه های قدیمی نیز بتوانند از آن استفاده نمایند.,0,data/main/Apple iPhone 5 - 16GB.xml
77,rev-78,نرم افزار iOS 6 !,0,data/main/Apple iPhone 5 - 16GB.xml
78,rev-79,آیا گفتن همین یک نام برای نشان دادن قدرت نرم افزاری آیفون 5 کافی نیست؟,0,data/main/Apple iPhone 5 - 16GB.xml
79,rev-80,شاید یکی از اصلی‌ترین برتری‌های محصولات کمپانی اپل که باعث گردیده همه آن‌ها با استقبال فراوانی مواجه گردند،  وجود سیستم عامل انحصاری این کمپانی است که در بین سیستم عامل‌های موجود بر روی گوشی‌های موبایل و تبلت ها،  به واقع تا به امروز بی رقیب است.,+1,data/main/Apple iPhone 5 - 16GB.xml
80,rev-81,به طور منصفانه نباید از پیشرفت شگفت انگیز اندروید بگذریم،  اما به نظر می‌رسد اندروید هنوز نتوانسته به قدرت iOS دست پیدا کند.,0,data/main/Apple iPhone 5 - 16GB.xml
81,rev-82,شکل ظاهری iOS 6 نسبت به نسخه قبلی آن تغییری نداشته است.,0,data/main/Apple iPhone 5 - 16GB.xml
82,rev-83,در این بخش می‌توان گفت که یکنواختی همیشگی iOS در مقابل تنوع بی انتهای سیستم عامل اندروید مقداری خسته کننده می‌نماید.,-1,data/main/Apple iPhone 5 - 16GB.xml
83,rev-84,به هر حال هیچ کاربری از حق انتخاب برای تنوع بدش نمی‌آید،  این در مورد کاربران iOS نیز صدق می‌نماید.,0,data/main/Apple iPhone 5 - 16GB.xml
84,rev-85,اما طراحی کلی iOS 6 تنوع جدیدی را در اختیار کاربران قرار نمی‌دهد و به غیر از افزوده شدن یک ردیف بیشتر به برنامه های آن( به علت بزرگ‌تر شدن صفحه نمایش) تغییر دیگری را شاهد نیستیم.,-1,data/main/Apple iPhone 5 - 16GB.xml
85,rev-86,اما با اینکه شکل کلی iOS تغییری نداشته است،  ولی به گفته کمپانی اپل،  هیچ برنامه ای نیست که در نسخه جدید iOS بهتر نشده باشد.,0,data/main/Apple iPhone 5 - 16GB.xml
86,rev-87,اولین بهبود iOS 6 در همگام سازی مطالب با Facebook می‌باشد.,+1,data/main/Apple iPhone 5 - 16GB.xml
87,rev-88,به طور مثال از طریق نوار Notification شما می‌توانید مطلبتان را بر روی فیس‌بوک و یا توییتر ارسال نمایید.,0,data/main/Apple iPhone 5 - 16GB.xml
88,rev-89,نوار Notification نسبت به نسخه قبلی تغییر دیگری نداشته است.,0,data/main/Apple iPhone 5 - 16GB.xml
89,rev-90,پیشرفت بعدی iOS 6 در مورد برنامه Siri است که با معرفی در iPhone 4S شگفتی همگان را برانگیخت و حالا با بهبود آن،  کاربرد های بیشتری نیز پیدا نموده است.,+1,data/main/Apple iPhone 5 - 16GB.xml
90,rev-91,بر اساس اعلام کمپانی اپل،  Siri به حدی هوشمند شده که می‌تواند بر اساس محلی که شما در آن قرار دارید،  مکان‌های تفریحی نیز به شما پیشنهاد دهد!,+1,data/main/Apple iPhone 5 - 16GB.xml
91,rev-92,برای گفتن جزئیات تمامی تغییرات و عملکرد های iOS 6 نیاز به نوشتن یک نقد و بررسی جداگانه می‌باشد.,0,data/main/Apple iPhone 5 - 16GB.xml
92,rev-93,بنابراین به صورت کلی سعی می‌کنیم به تغییرات اصلی آن اشاره نماییم.,0,data/main/Apple iPhone 5 - 16GB.xml
93,rev-94,یکی از تغییرات مهم در این نسخه،  قرار گرفتن برنامه Maps به جای برنامه Google Maps می‌باشد.,0,data/main/Apple iPhone 5 - 16GB.xml
94,rev-95,این اتفاق در پی کشمکش‌های اپل و گوگل بر سر سیستم عامل اندروید و اعلام اپل مبنی بر تحریم برنامه های ساخت کمپانی گوگل به وقوع پیوست.,0,data/main/Apple iPhone 5 - 16GB.xml
95,rev-96,اما اولین تجربه برای اپل چندان خوش آیند نبود.,-1,data/main/Apple iPhone 5 - 16GB.xml
96,rev-97,چرا که تنها چند روز پس از ورود این گوشی به بازار،  سیل انتقادات کاربران در مورد مشکلات عدیده برنامه Maps به سوی اپل روانه شده است.,0,data/main/Apple iPhone 5 - 16GB.xml
97,rev-98,به هر حال اپل مجبور است بهای تصمیم سرسختانه ای که در مقابل گوگل گرفته را بپردازد.,0,data/main/Apple iPhone 5 - 16GB.xml
98,rev-99,این مشکل در نقشه های سه بعدی این برنامه بیشتر نمایان می‌شود.,-1,data/main/Apple iPhone 5 - 16GB.xml
99,rev-100,اما لازم به ذکر است که مشکلات برنامه،  مربوط به تمامی شهرها نمی‌شود و بیشتر در شهر های کوچک وجود دارد.,0,data/main/Apple iPhone 5 - 16GB.xml
100,rev-101,اما اگر شهر بزرگی را جستجو نمایید،  نقشه 3 بعدی آن شما را بسیار هیجان زده خواهد کرد.,+1,data/main/Apple iPhone 5 - 16GB.xml
101,rev-102,برنامه دیگری که به iOS 6  اضافه شده برنامه Passbook نام دارد که یک برنامه Organizer بسیار قوی با امکانات بسیار خوب است که تمامی فعالیت‌های شما را می‌تواند ذخیره،  برنامه ریزی و یاد آوری نماید.,+2,data/main/Apple iPhone 5 - 16GB.xml
102,rev-103,برنامه های Find My iPhone و Find My Friends همان‌طور که از نامشان پیداست به شما برای یافتن دوستان قدیمی و البته گوشیتان در صورت مفقود شدن کمک می‌نمایند.,+1,data/main/Apple iPhone 5 - 16GB.xml
103,rev-104,برنامه FaceTime نیز برای مکالمات تصویری با سرعت بالاتر و بر روی شبکه های 3G و 4G قرار گرفته است.,+1,data/main/Apple iPhone 5 - 16GB.xml
104,rev-105,این برنامه پیش از این فقط با اتصال Wi-Fi کار می‌کرد که هم اکنون 3G و 4G را نیز پشتیبانی می‌نماید.,+1,data/main/Apple iPhone 5 - 16GB.xml
105,rev-106,برنامه های دیگر آیفون نیز هر کدام به نحوی دست‌خوش تغییرات گشته‌اند و به نوعی بهتر شده‌اند.,+1,data/main/Apple iPhone 5 - 16GB.xml
106,rev-107,از اضافه شدن قابلیت پانوراما به دوربین تا امکان تعیین زنگ هشدار SMS برای هر کدام از مخاطب‌ها.,0,data/main/Apple iPhone 5 - 16GB.xml
107,rev-108,در کل،  اگر از طرفداران ثابت iOS باشید،  استفاده از این نسخه چندان شما را شگفت زده نخواهد نمود.,0,data/main/Apple iPhone 5 - 16GB.xml
108,rev-109,هیچ برنامه جدیدی که برای نسخه جدید سیستم عامل اپل نسبت به نسخه پیشین یک برتری ایجاد نماید بر روی iOS 6 قرار داده نشده است.,-1,data/main/Apple iPhone 5 - 16GB.xml
109,rev-110,اما نباید فراموش کنیم که این نسخه در تمامی برنامه‌ها نسبت به نسخه پیشین پیشرفت‌هایی داشته است.,+1,data/main/Apple iPhone 5 - 16GB.xml
110,rev-111,و در انتها،  باید اذعان کنیم که با وجود مشکلات در برنامه Maps و یا کاستی‌هایی که در iOS 6 وجود دارد که شاید در اندروید 4 وجود نداشته باشد،  هنوز این سیستم عامل سریع‌ترین و روان‌ترین سیستم عامل موجود بر روی تلفن‌های همراه و تبلت ها به شمار می‌رود که به کاربر راحتی و آرامش فوق‌العاده ای را اعطا می‌نماید.,+2,data/main/Apple iPhone 5 - 16GB.xml
111,rev-112,دوربین یکی دیگر از قسمت‌هایی که در آیفون 5 تغییرات زیادی نداشته است دوربین آن است.,0,data/main/Apple iPhone 5 - 16GB.xml
112,rev-113,یک دوربین 8 مگاپیکسلی با سنسور بسیار پیشرفته Backside Illuminated CMOS و دیافراگم f/2.4 که همانند دوربین آیفون 4S عملکرد بسیار خوبی دارد.,+2,data/main/Apple iPhone 5 - 16GB.xml
113,rev-114,به لطف قدرت پردازشی بالاتر آن،  سرعت عکاسی و پردازش آن نیز نسبت به 4S بهبود یافته است.,+1,data/main/Apple iPhone 5 - 16GB.xml
114,rev-115,و با قرار گیری یک لایه از جنس یاقوت بر روی لنز دوربین،  هم محافظت بهتری از آن به عمل می‌آید و هم عکس‌ها شفافیت بیشتری پیدا خواهند نمود.,+1,data/main/Apple iPhone 5 - 16GB.xml
115,rev-116,قابلیت دیگری که با آن اضافه شده است قابلیت عکاسی پانوراماست که به شما این امکان را می‌دهد که عکس‌هایی با کیفیت 28 مگاپیکسل نیز ثبت نمایید.,0,data/main/Apple iPhone 5 - 16GB.xml
116,rev-117,کیفیت فیلم برداری آن نیز همان‌طور که پیش بینی می‌شد Full HD می‌باشد.,0,data/main/Apple iPhone 5 - 16GB.xml
117,rev-118,نهایتا دوربین دوم یا جلویی آن نیز ارتقا یافته و دارای سنسور 1.2 مگاپیکسلی گشته است که می‌تواند با کیفیت HD فیلم برداری نماید.,+1,data/main/Apple iPhone 5 - 16GB.xml
118,rev-119,از دیگر قابلیت‌های دوربین می‌توان به لرزشگیر تصویر،  فوکوس لمسی،  ثبت موقعیت مکانی و زمانی،  تشخیص چهره و عکاسی HDR اشاره نمود.,0,data/main/Apple iPhone 5 - 16GB.xml
119,rev-120,باتری از اینکه باتری آیفون 5 از چه نوعی و چند میلی آمپری است اطلاعات موثقی وجود ندارد.,0,data/main/Apple iPhone 5 - 16GB.xml
120,rev-121,اما کمپانی اپل ادعا کرده که کارکرد آن نسبت به 4S بسیار بهتر شده است و احتمالا در حالت استفاده عادی حدود 1 روز می‌توانید از آن استفاده نمایید.,+1,data/main/Apple iPhone 5 - 16GB.xml
121,rev-122,جمع بندی تا قبل از ورود آیفون 5 به بازار این برای همگان سوال بود که آیا اپل می‌تواند مانند آیفون 4S گوشی‌ای تولید نماید که در زمان خود برترین گوشی لقب گیرد یا خیر؟,0,data/main/Apple iPhone 5 - 16GB.xml
122,rev-123,با وجود رقبای سر سختی مانند Samsung Galaxy S III و HTC One X ،  به نظر می‌رسید اپل برای تبدیل شدن به بهترین،  کار بسیار سختی را در پیش دارد.,0,data/main/Apple iPhone 5 - 16GB.xml
123,rev-124,در نگاه کلی هم که به مشخصات فنی این گوشی‌ها نگاه کنیم،  از خیلی نظرها برتری با کمپانی‌های سامسونگ و HTC است.,0,data/main/Apple iPhone 5 - 16GB.xml
124,rev-125,اما وقتی نتایج آزمایش‌های سخت افزاری و کارکرد گوشی را بررسی می‌کنیم،  متوجه می‌شویم اپل با ارائه iPhone 5 ،  مجددا به برترین گوشی تا زمان ورود خودش به بازار تبدیل گردیده است.,+1,data/main/Apple iPhone 5 - 16GB.xml
125,rev-126,به هر حال از بسیاری لحاظ گوشی‌های دیگری هستند که به iPhone 5 برتری دارند،  به طور مثال اگر صفحه نمایش بزرگ‌تر دوست دارید به شما Galaxy Note II را پیشنهاد می‌دهیم،  اگر صرفا دوربین برایتان اهمیت دارد Nokia 808 PureView بهترین گزینه برای شماست و اگر شارژدهی باتری ملاک انتخاب شماست فقط می‌توانید به Motorola Razr Maxx اعتماد نمایید.,0,data/main/Apple iPhone 5 - 16GB.xml
126,rev-127,اما اگر به صورت کلی یک گوشی می‌خواهید که در همه زمینه‌ها شما را راضی نگاه دارد و همواره از کار کردن با آن لذت ببرید،  آیفون 5 هیچ کمبودی که بخواهد شما را از خرید آن پشیمان نماید ندارد و می‌تواند به یک انتخاب خوب برای شما تبدیل گردد.,+1,data/main/Apple iPhone 5 - 16GB.xml
127,rev-128,البته منصفانه باید بگوییم برای کسانی که قبلا از iPhone 4S استفاده می‌کردند خرید iPhone 5 چندان هوشمندانه نیست،  چرا که تغییر و تحول زیادی نداشته است،  اما برای بقیه افراد می‌تواند یک تنوع بسیار جذاب محسوب گردد.,0,data/main/Apple iPhone 5 - 16GB.xml
0,gr-1-1,بزرگترين مشکل اين گوشي يعني بلوتوث حل شد و روي ورژن ۶.,+1,data/main/Apple iPhone 5 - 16GB.xml
1,gr-1-2,۱ چه جيل شده يا نشده قابل فعالسازيه!,0,data/main/Apple iPhone 5 - 16GB.xml
2,gr-1-3,ميشه گفت ديگه هيچ نقصي براي اين گوشي وجود نداره.,+1,data/main/Apple iPhone 5 - 16GB.xml
1,gr-2-2,من قبل از اين گوشي HTC One X داشتم و خيلي ازش راضي بودم .,0,data/main/Apple iPhone 5 - 16GB.xml
2,gr-2-3,ولي وقتي که iPhone 5 رو خريدم اصلا نميتونم با گوشيهاي اندرويدي کار کنم واقعاً که حرف نداره .,+2,data/main/Apple iPhone 5 - 16GB.xml
3,gr-2-4,در مورد صفحه نمايش کوچيکش هم بايد بگم که قراره گوشي داشته باشي نه فبلت .,0,data/main/Apple iPhone 5 - 16GB.xml
4,gr-2-5,قدرت پردازندش عاليه .,+2,data/main/Apple iPhone 5 - 16GB.xml
5,gr-2-6,دوربينش بي نقصه .,+1,data/main/Apple iPhone 5 - 16GB.xml
6,gr-2-7,کيفيت ساختش تکه.,+1,data/main/Apple iPhone 5 - 16GB.xml
7,gr-2-8,باطريش بي نظيره و اصلا نيازي به تعويض باطري ندارين .,+1,data/main/Apple iPhone 5 - 16GB.xml
8,gr-2-9,سيستم عاملش که ديگه همه در جريانن .,0,data/main/Apple iPhone 5 - 16GB.xml
9,gr-2-10,"امنيت گوشي بسيار جالبه 
با تشکر از ديجيکالا",+2,data/main/Apple iPhone 5 - 16GB.xml
1,gr-3-2,من اين گوشي رو با تخفيف ويژه از نمايشگاه GITEX دبي خريدم.,0,data/main/Apple iPhone 5 - 16GB.xml
2,gr-3-3,گوشي فوق العاده خوب با سرعت پردازش بسيار بالا مخصوصا براي کساني مثل من که هميشه با اينترنت و ايميل سروکار دارند.,+2,data/main/Apple iPhone 5 - 16GB.xml
3,gr-3-4,اگر کمي حوصله به خرج بدين و برنامه itunes رو به خوبي پياده و اجرا کنين هيچ مشکلي براي نصب APPs در ايران نخواهيد داشت .,+1,data/main/Apple iPhone 5 - 16GB.xml
4,gr-3-5,با هزاران برنامه موجود و مجاني خيلي از نيازهاتون براورده ميشه.,+1,data/main/Apple iPhone 5 - 16GB.xml
5,gr-3-6,خود من که در کار بازرگاني هستم کلي برنامه مديريتي ،  روزنامه ،  مقاله و اپليکيشن هاي کاربردي دانلود کردم.,0,data/main/Apple iPhone 5 - 16GB.xml
6,gr-3-7,تجربه من به شما براي انتخاب گوشي : هيچ وقت سرعت پردازنده گوشي رو فداي هيچ چيز ديگه اي نکنين,0,data/main/Apple iPhone 5 - 16GB.xml
1,gr-4-2,من خودم اپل آيفون5 دارم ولي اصلا ازش راضي نيستم.1- بهترين مرورگر اينترنت که همه سايت هاي اينترنتي باهاش باز ميشه رو اپل نصب نميشه اصلا توليد نشده براش موزيلا فايرفاکس.,-1,data/main/Apple iPhone 5 - 16GB.xml
2,gr-4-3,2-دوما هر برنامه اي که ميخواي دانلود کني حتما بايد بر توي خود سايت اپل يعني Apple Store اين يعني محدوديت يعني مثل اندوريد اينطوري نيست که هر چيزي خواستي بدون هيج محدوديت دانلود کني.,0,data/main/Apple iPhone 5 - 16GB.xml
3,gr-4-4,3-سوما وقتي که ميام از بزرگترين سايت هاي دانلود يعني (آسان دانلود،  دانلود ها،  ميهن دانلود و.,0,data/main/Apple iPhone 5 - 16GB.xml
4,gr-4-5,.) براي سيستم عامل iOS نرم افزاري دانلود کنم باهاش مشکل دارم بايد برم از کامپيوتر دانلود کنم اونوقت بيام با کابل بريزم تو گوشي.,-1,data/main/Apple iPhone 5 - 16GB.xml
0,gr-5-1,من زياد نمي پسندم البته نظرم شخصيه و ديدگاه تخصصي نداره و اگر بخوام زماني گوشي بخرم اين گوشي اولويت سوم يا چهارم من خواهد بود چون خيلي از امکاناتش به درد من نميخوره  پس براي يه کاربر معمولي گوشي هاي اندرويدي با اين قيمت هست که بسيار کار امد تره.,-1,data/main/Apple iPhone 5 - 16GB.xml
0,gr-6-1,آيفون 5 من داشتم عالي بود بنظر من  بهترين گوشي هست,+2,data/main/Apple iPhone 5 - 16GB.xml
0,gr-7-1,به نظر من بهترين گوشيه فقط يه عيب داره اونم بلوتوثشه,+1,data/main/Apple iPhone 5 - 16GB.xml
0,gr-8-1,کاربري گفته بود که ايفون از نظر سخت افزاري از s3 پايين تر است اما فقط در اسم دو هسته اي ايفون پايين تر از s3 است و در واقعيت ايفون 5 حتي از نوت 2 هم قدرت پردازش بالاتري را ارايه مي کند.,+1,data/main/Apple iPhone 5 - 16GB.xml
0,gr-9-1,"ساده ترين کارها نياز به برنامه يا اينترنت داره يه شماره تلفن نميشه از گوشي ريخت رو سيم کارت
بدرد گوشي بازها مي خوره نه کاربر عادي که مي خواد راحت از همه امکانات گوشي استفاده کنه",0,data/main/Apple iPhone 5 - 16GB.xml
0,gr-10-1,"مموري نميخورد
پشت گوشي باز نميشود و باطري قابل تعويض نيست
سايز صفحه نسبت به گوشي هاي اندرويدي کوچکتر است
نرم افزارهاي اندرويد بيشتر و رايگان است اما اپل.",-1,data/main/Apple iPhone 5 - 16GB.xml
1,gr-10-2,براي فعال کردن بلوتوث بايد هزينه پرداخت کنيد!,0,data/main/Apple iPhone 5 - 16GB.xml
2,gr-10-3,"از لحاظ سخت افزاري از s3 پايين تر است
نسبت به امکاناتي که دارد  مقرون به صرفه نيست
قاب پشت گوشي بسيار زود خش مي‌شود
",-1,data/main/Apple iPhone 5 - 16GB.xml
0,gr-11-1,من اين گوشي رو تست کردم.,0,data/main/Apple iPhone 5 - 16GB.xml
1,gr-11-2,کيفيت عکاسي و فيلمبرداريش عاليه،  سرعت گوشي فوق العاده است،  از کار کردن با اين گوش اصلا خسته نمي شي، کيفيت صفحه و کيفيت مکالمه ي اين گوشي عاليه و گوشي بسيار خوش دستيه.,+2,data/main/Apple iPhone 5 - 16GB.xml
2,gr-11-3,سيستم عاملش که حرف نداره و به نظر من روانترين سيستم عامل IOS هست.,+2,data/main/Apple iPhone 5 - 16GB.xml
0,gr-12-1,به نظر من ايفون 5 با تمامي گوشي ها متفاوت است و اين تفاوت بي نظيريه!,+1,data/main/Apple iPhone 5 - 16GB.xml
0,gr-13-1,اميدوارم  اپل براي iphone 5s  بيش تر زحمت بکشه.,0,data/main/Apple iPhone 5 - 16GB.xml
1,gr-14-2,من 2 ماه هست که اين ايفون 5 -16 گيگ را خريدم.,0,data/main/Apple iPhone 5 - 16GB.xml
2,gr-14-3,از خريدش واقعاً راضي ام!,+2,data/main/Apple iPhone 5 - 16GB.xml
3,gr-14-4,"مزايا :
- دوربين فوق العاده .",+2,data/main/Apple iPhone 5 - 16GB.xml
4,gr-14-5,- سرعت و گرافيک بسيار عالي .,+2,data/main/Apple iPhone 5 - 16GB.xml
5,gr-14-6,"- امکانات بسيار عالي itunes , icloud , imesaage .",+2,data/main/Apple iPhone 5 - 16GB.xml
6,gr-14-7,"- siri
- سرعت اينترنت بسيار خوب .",+2,data/main/Apple iPhone 5 - 16GB.xml
7,gr-14-8,"معايب :
- کمي قاب پشتش خش پذير است که با انداختن يک قاب به راحتي اين مشکل حل مي شود .",0,data/main/Apple iPhone 5 - 16GB.xml
8,gr-14-9,من قبل از اين که اين گوشي را بخرم بيشتر به دنبال galaxy s3 بودم ولي الان واقعا نظرم تغيير کرد و واقعا عاشق اين گوشي شدم !,+1,data/main/Apple iPhone 5 - 16GB.xml
9,gr-14-10,"ممنون از مسئولان ديجي کالا
واقعا ديجي کالا بهترين فروشگاه اينترنتي است",+1,data/main/Apple iPhone 5 - 16GB.xml
0,gr-15-1,"منم خريدم
اول بين s4 و z و lumia920 شک داشتم ولي اپل ترجيح دادم",0,data/main/Apple iPhone 5 - 16GB.xml
0,gr-16-1,"با سلام، 
من تمام محصولات اپل رو دارم.",0,data/main/Apple iPhone 5 - 16GB.xml
1,gr-16-2,الان هم ايفون٥ رو خريدم که واقعاً پديدست.,+1,data/main/Apple iPhone 5 - 16GB.xml
2,gr-16-3,از هر لحاظ،  شارژدهي، انتن دهي، طراحي و ظرافت، سرعت و کيفيت، قبلش هم گلکسي نکسوس داشتم اونهم فوق العادست ولي خيلي مونده به اپل برسه,+1,data/main/Apple iPhone 5 - 16GB.xml
0,gr-17-1,واقعا از هر نظر عاليه,+2,data/main/Apple iPhone 5 - 16GB.xml
0,gr-18-1,من دو هفته ست 32 گيگشو گرفتم فقط چند تا عيب تا الان داشته.,-1,data/main/Apple iPhone 5 - 16GB.xml
1,gr-18-2,"-توي اجراي ويديو سنگين انقدر که فکر ميکردم خوب نبود
-عقب گوشي مخصوصا مشکيش خيلي حساسه يعني جوري که با ناخن خط ميوفته
بغير از اين دو تا تا حالا معرکه بوده باور کنين قبل خريد با هر چي گوشي بوده کار کردم galaxy s3,one x,xperia z
ولي iphone 5 از همشون راحتتر و سريعتر ولي براي کسايي که حوصله سر و کله زدن با itunes رو ندارن توصيه نميکنم.",0,data/main/Apple iPhone 5 - 16GB.xml
0,gr-19-1,ببينيد دوستان اپل بهترين گوشي هست تو جهان چون ios رو اختصاري براي خودش داره اين ios که باعث شده اپل بالاتر از همه گوشي ها قرار بگيره ,+2,data/main/Apple iPhone 5 - 16GB.xml
0,gr-20-1,به نظر من بهترين گوشي دنيا هست,+2,data/main/Apple iPhone 5 - 16GB.xml
0,gr-21-1,"من طرفدار سوني ايکسون هستم(حتي همين حالا که ديگه نيست)
پس به عنوان بي طرف ميگم.",0,data/main/Apple iPhone 5 - 16GB.xml
1,gr-21-2,خودم ال جي l7 دارم.,0,data/main/Apple iPhone 5 - 16GB.xml
2,gr-21-3,وقتي با گوشي دوستم آيفون 4s کار کردم فهميدم که چرا همه طرفدار اپل اند ،  حالا چه برسه به آيفون 5!,0,data/main/Apple iPhone 5 - 16GB.xml
3,gr-21-4,هيچ وقت سرعت گوشي رو با هيچ چيز عوض نکنين!,0,data/main/Apple iPhone 5 - 16GB.xml
0,gr-22-1,خيلي بده که آدم خودش رو به اختيار محدود کنه .,-1,data/main/Apple iPhone 5 - 16GB.xml
1,gr-22-2,منظورم IOS هست !,0,data/main/Apple iPhone 5 - 16GB.xml
0,gr-23-1,واقعا ارزش نداره .,-1,data/main/Apple iPhone 5 - 16GB.xml
1,gr-23-2,شايد اپل تو نسل بعدي جبران کنه.,0,data/main/Apple iPhone 5 - 16GB.xml
0,gr-24-1,با سلام خدمت همگي.,0,data/main/Apple iPhone 5 - 16GB.xml
1,gr-24-2,من چند روزي هست که يک آيفون 5 از ديجيکالا خريدم و خيلي خيلي هم راضي هستم..,+2,data/main/Apple iPhone 5 - 16GB.xml
2,gr-24-3,اين دستگاه هيچ ايرادي نداره فقط يکم بايد مواظب قاب پشتي گوشي باشيد که يه کم خش پذير هست.,+1,data/main/Apple iPhone 5 - 16GB.xml
3,gr-24-4,بقيه چيز هاش عاليه.,+2,data/main/Apple iPhone 5 - 16GB.xml
